ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.901,0.834,0.399,0.827,0.538,0.165,0.173,inf,16,0.0,0.001,0.0,1.0,False,1
0.9,0.832,0.396,0.83,0.537,0.167,0.17,inf,16,0.0,0.003,0.0,1.0,False,1
0.9,0.832,0.396,0.822,0.534,0.166,0.178,inf,16,0.0,0.005,0.0,1.0,False,1
0.898,0.836,0.402,0.816,0.538,0.161,0.184,inf,32,0.0,0.001,0.0,1.0,False,1
0.905,0.839,0.407,0.819,0.544,0.158,0.181,inf,32,0.0,0.003,0.0,1.0,False,1
0.905,0.826,0.387,0.839,0.53,0.176,0.161,inf,32,0.0,0.005,0.0,1.0,False,1
0.901,0.847,0.418,0.792,0.547,0.146,0.208,inf,64,0.0,0.001,0.0,1.0,False,1
0.906,0.832,0.396,0.836,0.538,0.169,0.164,inf,64,0.0,0.003,0.0,1.0,False,1
0.9,0.833,0.398,0.835,0.539,0.168,0.165,inf,64,0.0,0.005,0.0,1.0,False,1
0.897,0.821,0.379,0.831,0.521,0.18,0.169,inf,128,0.0,0.001,0.0,1.0,False,1
0.9,0.835,0.4,0.819,0.538,0.163,0.181,inf,128,0.0,0.003,0.0,1.0,False,1
0.9,0.838,0.404,0.811,0.539,0.159,0.189,inf,128,0.0,0.005,0.0,1.0,False,1
0.891,0.794,0.344,0.844,0.489,0.213,0.156,1.699,16,0.8,0.001,0.5,1.0,True,1
0.893,0.739,0.297,0.897,0.446,0.282,0.103,1.699,16,0.8,0.001,1.0,1.0,True,1
0.894,0.786,0.337,0.856,0.484,0.223,0.144,1.699,16,0.8,0.001,2.0,1.0,True,1
0.896,0.805,0.357,0.836,0.501,0.199,0.164,1.699,16,0.8,0.003,0.5,1.0,True,1
0.893,0.829,0.387,0.786,0.519,0.165,0.214,1.699,16,0.8,0.003,1.0,1.0,True,1
0.896,0.787,0.338,0.854,0.484,0.222,0.146,1.699,16,0.8,0.003,2.0,1.0,True,1
0.863,0.818,0.364,0.744,0.489,0.172,0.256,1.699,16,0.8,0.005,0.5,1.0,True,1
0.904,0.83,0.392,0.813,0.529,0.167,0.187,1.699,16,0.8,0.005,1.0,1.0,True,1
0.9,0.81,0.365,0.837,0.508,0.193,0.163,1.699,16,0.8,0.005,2.0,1.0,True,1
0.874,0.789,0.334,0.809,0.473,0.214,0.191,0.849,16,1.1,0.001,0.5,1.0,True,1
0.892,0.761,0.314,0.882,0.463,0.255,0.118,0.849,16,1.1,0.001,1.0,1.0,True,1
0.894,0.825,0.381,0.795,0.515,0.171,0.205,0.849,16,1.1,0.001,2.0,1.0,True,1
0.895,0.801,0.353,0.842,0.497,0.205,0.158,0.849,16,1.1,0.003,0.5,1.0,True,1
0.902,0.82,0.377,0.826,0.518,0.181,0.174,0.849,16,1.1,0.003,1.0,1.0,True,1
0.898,0.827,0.386,0.808,0.522,0.17,0.192,0.849,16,1.1,0.003,2.0,1.0,True,1
0.893,0.809,0.36,0.82,0.501,0.193,0.18,0.849,16,1.1,0.005,0.5,1.0,True,1
0.86,0.815,0.359,0.74,0.484,0.175,0.26,0.849,16,1.1,0.005,1.0,1.0,True,1
0.861,0.835,0.388,0.71,0.502,0.148,0.29,0.849,16,1.1,0.005,2.0,1.0,True,1
0.892,0.75,0.305,0.89,0.455,0.268,0.11,0.486,16,1.5,0.001,0.5,1.0,True,1
0.892,0.779,0.33,0.866,0.478,0.233,0.134,0.486,16,1.5,0.001,1.0,1.0,True,1
0.892,0.77,0.322,0.877,0.471,0.245,0.123,0.486,16,1.5,0.001,2.0,1.0,True,1
0.895,0.807,0.359,0.828,0.501,0.195,0.172,0.486,16,1.5,0.003,0.5,1.0,True,1
0.894,0.835,0.395,0.775,0.523,0.157,0.225,0.486,16,1.5,0.003,1.0,1.0,True,1
0.89,0.829,0.387,0.787,0.519,0.165,0.213,0.486,16,1.5,0.003,2.0,1.0,True,1
0.865,0.816,0.362,0.75,0.488,0.175,0.25,0.486,16,1.5,0.005,0.5,1.0,True,1
0.897,0.823,0.38,0.811,0.517,0.175,0.189,0.486,16,1.5,0.005,1.0,1.0,True,1
0.899,0.817,0.373,0.825,0.514,0.184,0.175,0.486,16,1.5,0.005,2.0,1.0,True,1
0.871,0.754,0.302,0.842,0.445,0.258,0.158,0.32,16,2.0,0.001,0.5,1.0,True,1
0.885,0.829,0.385,0.771,0.514,0.163,0.229,0.32,16,2.0,0.001,1.0,1.0,True,1
0.89,0.722,0.284,0.901,0.431,0.302,0.099,0.32,16,2.0,0.001,2.0,1.0,True,1
0.9,0.754,0.31,0.903,0.462,0.266,0.097,0.32,16,2.0,0.003,0.5,1.0,True,1
0.895,0.819,0.374,0.82,0.514,0.182,0.18,0.32,16,2.0,0.003,1.0,1.0,True,1
0.895,0.796,0.347,0.842,0.492,0.21,0.158,0.32,16,2.0,0.003,2.0,1.0,True,1
0.865,0.809,0.355,0.77,0.486,0.186,0.23,0.32,16,2.0,0.005,0.5,1.0,True,1
0.894,0.815,0.368,0.813,0.507,0.185,0.187,0.32,16,2.0,0.005,1.0,1.0,True,1
0.866,0.809,0.355,0.769,0.485,0.186,0.231,0.32,16,2.0,0.005,2.0,1.0,True,1
0.874,0.729,0.284,0.865,0.428,0.289,0.135,2.114,32,0.8,0.001,0.5,1.0,True,1
0.865,0.703,0.263,0.853,0.401,0.317,0.147,2.114,32,0.8,0.001,1.0,1.0,True,1
0.866,0.669,0.246,0.885,0.385,0.36,0.115,2.114,32,0.8,0.001,2.0,1.0,True,1
0.897,0.821,0.376,0.81,0.514,0.178,0.19,2.114,32,0.8,0.003,0.5,1.0,True,1
0.89,0.805,0.357,0.835,0.5,0.199,0.165,2.114,32,0.8,0.003,1.0,1.0,True,1
0.89,0.606,0.224,0.957,0.362,0.44,0.043,2.114,32,0.8,0.003,2.0,1.0,True,1
0.896,0.82,0.375,0.805,0.512,0.178,0.195,2.114,32,0.8,0.005,0.5,1.0,True,1
0.895,0.796,0.348,0.855,0.495,0.212,0.145,2.114,32,0.8,0.005,1.0,1.0,True,1
0.894,0.8,0.351,0.832,0.493,0.204,0.168,2.114,32,0.8,0.005,2.0,1.0,True,1
0.865,0.723,0.276,0.841,0.416,0.292,0.159,1.058,32,1.1,0.001,0.5,1.0,True,1
0.868,0.696,0.262,0.879,0.403,0.328,0.121,1.058,32,1.1,0.001,1.0,1.0,True,1
0.866,0.705,0.266,0.864,0.406,0.316,0.136,1.058,32,1.1,0.001,2.0,1.0,True,1
0.886,0.822,0.376,0.787,0.509,0.173,0.213,1.058,32,1.1,0.003,0.5,1.0,True,1
0.886,0.797,0.348,0.838,0.492,0.208,0.162,1.058,32,1.1,0.003,1.0,1.0,True,1
0.891,0.633,0.235,0.942,0.376,0.408,0.058,1.058,32,1.1,0.003,2.0,1.0,True,1
0.889,0.591,0.217,0.954,0.353,0.457,0.046,1.058,32,1.1,0.005,0.5,1.0,True,1
0.892,0.804,0.356,0.828,0.498,0.199,0.172,1.058,32,1.1,0.005,1.0,1.0,True,1
0.896,0.797,0.349,0.85,0.495,0.21,0.15,1.058,32,1.1,0.005,2.0,1.0,True,1
0.853,0.716,0.269,0.83,0.406,0.299,0.17,0.643,32,1.5,0.001,0.5,1.0,True,1
0.86,0.708,0.266,0.852,0.405,0.311,0.148,0.643,32,1.5,0.001,1.0,1.0,True,1
0.863,0.7,0.262,0.864,0.403,0.322,0.136,0.643,32,1.5,0.001,2.0,1.0,True,1
0.894,0.816,0.37,0.812,0.508,0.183,0.188,0.643,32,1.5,0.003,0.5,1.0,True,1
