ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Config
0.857,0.85,0.411,0.647,0.503,0.123,0.353,1.699,16,0.8,0.001,0.5,"BS=16.0, Noise=0.8, LR=0.001, Clip=0.5"
0.772,0.685,0.227,0.706,0.344,0.318,0.294,1.699,16,0.8,0.001,1.0,"BS=16.0, Noise=0.8, LR=0.001, Clip=1.0"
0.75,0.663,0.211,0.689,0.323,0.341,0.311,1.699,16,0.8,0.001,2.0,"BS=16.0, Noise=0.8, LR=0.001, Clip=2.0"
0.885,0.863,0.444,0.681,0.537,0.113,0.319,1.699,16,0.8,0.003,0.5,"BS=16.0, Noise=0.8, LR=0.003, Clip=0.5"
0.862,0.851,0.415,0.674,0.514,0.126,0.326,1.699,16,0.8,0.003,1.0,"BS=16.0, Noise=0.8, LR=0.003, Clip=1.0"
0.883,0.844,0.407,0.727,0.522,0.14,0.273,1.699,16,0.8,0.003,2.0,"BS=16.0, Noise=0.8, LR=0.003, Clip=2.0"
0.864,0.861,0.435,0.626,0.513,0.108,0.374,1.699,16,0.8,0.005,0.5,"BS=16.0, Noise=0.8, LR=0.005, Clip=0.5"
0.885,0.867,0.453,0.663,0.538,0.106,0.337,1.699,16,0.8,0.005,1.0,"BS=16.0, Noise=0.8, LR=0.005, Clip=1.0"
0.891,0.855,0.427,0.713,0.534,0.126,0.287,1.699,16,0.8,0.005,2.0,"BS=16.0, Noise=0.8, LR=0.005, Clip=2.0"
0.872,0.852,0.42,0.694,0.523,0.127,0.306,0.849,16,1.1,0.001,0.5,"BS=16.0, Noise=1.1, LR=0.001, Clip=0.5"
0.87,0.808,0.355,0.784,0.489,0.189,0.216,0.849,16,1.1,0.001,1.0,"BS=16.0, Noise=1.1, LR=0.001, Clip=1.0"
0.764,0.703,0.232,0.668,0.345,0.293,0.332,0.849,16,1.1,0.001,2.0,"BS=16.0, Noise=1.1, LR=0.001, Clip=2.0"
0.877,0.856,0.426,0.67,0.521,0.12,0.33,0.849,16,1.1,0.003,0.5,"BS=16.0, Noise=1.1, LR=0.003, Clip=0.5"
0.873,0.865,0.445,0.626,0.52,0.103,0.374,0.849,16,1.1,0.003,1.0,"BS=16.0, Noise=1.1, LR=0.003, Clip=1.0"
0.877,0.877,0.48,0.592,0.53,0.085,0.408,0.849,16,1.1,0.003,2.0,"BS=16.0, Noise=1.1, LR=0.003, Clip=2.0"
0.868,0.891,0.543,0.438,0.485,0.049,0.562,0.849,16,1.1,0.005,0.5,"BS=16.0, Noise=1.1, LR=0.005, Clip=0.5"
0.891,0.846,0.411,0.745,0.53,0.141,0.255,0.849,16,1.1,0.005,1.0,"BS=16.0, Noise=1.1, LR=0.005, Clip=1.0"
0.878,0.87,0.459,0.607,0.523,0.095,0.393,0.849,16,1.1,0.005,2.0,"BS=16.0, Noise=1.1, LR=0.005, Clip=2.0"
0.866,0.857,0.428,0.659,0.519,0.117,0.341,0.486,16,1.5,0.001,0.5,"BS=16.0, Noise=1.5, LR=0.001, Clip=0.5"
0.768,0.731,0.251,0.656,0.363,0.259,0.344,0.486,16,1.5,0.001,1.0,"BS=16.0, Noise=1.5, LR=0.001, Clip=1.0"
0.734,0.681,0.217,0.66,0.326,0.316,0.34,0.486,16,1.5,0.001,2.0,"BS=16.0, Noise=1.5, LR=0.001, Clip=2.0"
0.865,0.866,0.449,0.619,0.52,0.101,0.381,0.486,16,1.5,0.003,0.5,"BS=16.0, Noise=1.5, LR=0.003, Clip=0.5"
0.861,0.824,0.371,0.726,0.491,0.163,0.274,0.486,16,1.5,0.003,1.0,"BS=16.0, Noise=1.5, LR=0.003, Clip=1.0"
0.847,0.84,0.392,0.664,0.493,0.136,0.336,0.486,16,1.5,0.003,2.0,"BS=16.0, Noise=1.5, LR=0.003, Clip=2.0"
0.853,0.834,0.384,0.695,0.494,0.148,0.305,0.486,16,1.5,0.005,0.5,"BS=16.0, Noise=1.5, LR=0.005, Clip=0.5"
0.89,0.872,0.467,0.636,0.539,0.096,0.364,0.486,16,1.5,0.005,1.0,"BS=16.0, Noise=1.5, LR=0.005, Clip=1.0"
0.891,0.864,0.446,0.684,0.54,0.113,0.316,0.486,16,1.5,0.005,2.0,"BS=16.0, Noise=1.5, LR=0.005, Clip=2.0"
0.872,0.865,0.446,0.629,0.522,0.104,0.371,0.32,16,2.0,0.001,0.5,"BS=16.0, Noise=2.0, LR=0.001, Clip=0.5"
0.862,0.835,0.389,0.718,0.504,0.15,0.282,0.32,16,2.0,0.001,1.0,"BS=16.0, Noise=2.0, LR=0.001, Clip=1.0"
0.856,0.83,0.378,0.705,0.492,0.154,0.295,0.32,16,2.0,0.001,2.0,"BS=16.0, Noise=2.0, LR=0.001, Clip=2.0"
0.882,0.869,0.457,0.647,0.536,0.102,0.353,0.32,16,2.0,0.003,0.5,"BS=16.0, Noise=2.0, LR=0.003, Clip=0.5"
0.88,0.862,0.439,0.649,0.524,0.11,0.351,0.32,16,2.0,0.003,1.0,"BS=16.0, Noise=2.0, LR=0.003, Clip=1.0"
0.879,0.844,0.406,0.716,0.518,0.139,0.284,0.32,16,2.0,0.003,2.0,"BS=16.0, Noise=2.0, LR=0.003, Clip=2.0"
0.878,0.87,0.459,0.609,0.524,0.095,0.391,0.32,16,2.0,0.005,0.5,"BS=16.0, Noise=2.0, LR=0.005, Clip=0.5"
0.865,0.872,0.462,0.578,0.513,0.089,0.422,0.32,16,2.0,0.005,1.0,"BS=16.0, Noise=2.0, LR=0.005, Clip=1.0"
0.882,0.874,0.47,0.609,0.53,0.091,0.391,0.32,16,2.0,0.005,2.0,"BS=16.0, Noise=2.0, LR=0.005, Clip=2.0"
0.742,0.673,0.216,0.681,0.328,0.328,0.319,2.114,32,0.8,0.001,0.5,"BS=32.0, Noise=0.8, LR=0.001, Clip=0.5"
0.754,0.679,0.222,0.698,0.337,0.323,0.302,2.114,32,0.8,0.001,1.0,"BS=32.0, Noise=0.8, LR=0.001, Clip=1.0"
0.746,0.66,0.21,0.687,0.321,0.343,0.313,2.114,32,0.8,0.001,2.0,"BS=32.0, Noise=0.8, LR=0.001, Clip=2.0"
0.805,0.786,0.306,0.652,0.417,0.196,0.348,2.114,32,0.8,0.003,0.5,"BS=32.0, Noise=0.8, LR=0.003, Clip=0.5"
0.873,0.849,0.415,0.702,0.522,0.131,0.298,2.114,32,0.8,0.003,1.0,"BS=32.0, Noise=0.8, LR=0.003, Clip=1.0"
0.861,0.86,0.43,0.612,0.505,0.107,0.388,2.114,32,0.8,0.003,2.0,"BS=32.0, Noise=0.8, LR=0.003, Clip=2.0"
0.871,0.839,0.397,0.731,0.515,0.147,0.269,2.114,32,0.8,0.005,0.5,"BS=32.0, Noise=0.8, LR=0.005, Clip=0.5"
0.877,0.863,0.441,0.658,0.528,0.11,0.342,2.114,32,0.8,0.005,1.0,"BS=32.0, Noise=0.8, LR=0.005, Clip=1.0"
0.772,0.75,0.266,0.644,0.376,0.236,0.356,2.114,32,0.8,0.005,2.0,"BS=32.0, Noise=0.8, LR=0.005, Clip=2.0"
0.739,0.697,0.221,0.628,0.327,0.293,0.372,1.058,32,1.1,0.001,0.5,"BS=32.0, Noise=1.1, LR=0.001, Clip=0.5"
0.749,0.664,0.214,0.701,0.328,0.341,0.299,1.058,32,1.1,0.001,1.0,"BS=32.0, Noise=1.1, LR=0.001, Clip=1.0"
0.73,0.678,0.213,0.648,0.32,0.318,0.352,1.058,32,1.1,0.001,2.0,"BS=32.0, Noise=1.1, LR=0.001, Clip=2.0"
0.875,0.866,0.449,0.638,0.527,0.104,0.362,1.058,32,1.1,0.003,0.5,"BS=32.0, Noise=1.1, LR=0.003, Clip=0.5"
0.885,0.857,0.433,0.714,0.539,0.124,0.286,1.058,32,1.1,0.003,1.0,"BS=32.0, Noise=1.1, LR=0.003, Clip=1.0"
0.876,0.852,0.421,0.712,0.529,0.13,0.288,1.058,32,1.1,0.003,2.0,"BS=32.0, Noise=1.1, LR=0.003, Clip=2.0"
