ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.897,0.843,0.411,0.785,0.54,0.149,0.215,inf,16,0.0,0.001,0.0,1.0
0.899,0.835,0.398,0.799,0.532,0.16,0.201,inf,16,0.0,0.003,0.0,1.0
0.9,0.844,0.413,0.799,0.544,0.151,0.201,inf,16,0.0,0.005,0.0,1.0
0.889,0.86,0.439,0.708,0.542,0.12,0.292,inf,32,0.0,0.001,0.0,1.0
0.896,0.854,0.429,0.75,0.546,0.132,0.25,inf,32,0.0,0.003,0.0,1.0
0.898,0.835,0.398,0.794,0.53,0.159,0.206,inf,32,0.0,0.005,0.0,1.0
0.902,0.852,0.426,0.76,0.546,0.136,0.24,inf,64,0.0,0.001,0.0,1.0
0.895,0.843,0.408,0.769,0.533,0.148,0.231,inf,64,0.0,0.003,0.0,1.0
0.901,0.831,0.392,0.812,0.529,0.167,0.188,inf,64,0.0,0.005,0.0,1.0
0.901,0.853,0.428,0.764,0.549,0.135,0.236,inf,128,0.0,0.001,0.0,1.0
0.903,0.842,0.409,0.778,0.536,0.149,0.222,inf,128,0.0,0.003,0.0,1.0
0.895,0.865,0.45,0.695,0.546,0.112,0.305,inf,128,0.0,0.005,0.0,1.0
0.734,0.658,0.204,0.664,0.312,0.343,0.336,1.699,16,0.8,0.001,0.5,1.0
0.822,0.782,0.31,0.704,0.43,0.208,0.296,1.699,16,0.8,0.001,1.0,1.0
0.754,0.686,0.223,0.68,0.336,0.313,0.32,1.699,16,0.8,0.001,2.0,1.0
0.866,0.853,0.419,0.66,0.512,0.121,0.34,1.699,16,0.8,0.003,0.5,1.0
0.879,0.849,0.417,0.73,0.53,0.135,0.27,1.699,16,0.8,0.003,1.0,1.0
0.88,0.831,0.388,0.76,0.513,0.159,0.24,1.699,16,0.8,0.003,2.0,1.0
0.879,0.857,0.428,0.664,0.521,0.117,0.336,1.699,16,0.8,0.005,0.5,1.0
0.879,0.876,0.477,0.577,0.522,0.084,0.423,1.699,16,0.8,0.005,1.0,1.0
0.871,0.868,0.452,0.602,0.517,0.097,0.398,1.699,16,0.8,0.005,2.0,1.0
0.843,0.834,0.379,0.658,0.481,0.143,0.342,0.849,16,1.1,0.001,0.5,1.0
0.861,0.841,0.398,0.693,0.505,0.139,0.307,0.849,16,1.1,0.001,1.0,1.0
0.883,0.845,0.41,0.737,0.527,0.141,0.263,0.849,16,1.1,0.001,2.0,1.0
0.881,0.862,0.441,0.662,0.53,0.111,0.338,0.849,16,1.1,0.003,0.5,1.0
0.869,0.862,0.438,0.647,0.523,0.11,0.353,0.849,16,1.1,0.003,1.0,1.0
0.874,0.872,0.462,0.594,0.52,0.091,0.406,0.849,16,1.1,0.003,2.0,1.0
0.883,0.873,0.467,0.606,0.527,0.092,0.394,0.849,16,1.1,0.005,0.5,1.0
0.817,0.815,0.342,0.627,0.443,0.16,0.373,0.849,16,1.1,0.005,1.0,1.0
0.888,0.861,0.441,0.694,0.54,0.116,0.306,0.849,16,1.1,0.005,2.0,1.0
0.874,0.871,0.461,0.599,0.521,0.093,0.401,0.486,16,1.5,0.001,0.5,1.0
0.745,0.662,0.21,0.685,0.321,0.342,0.315,0.486,16,1.5,0.001,1.0,1.0
0.857,0.821,0.367,0.733,0.489,0.168,0.267,0.486,16,1.5,0.001,2.0,1.0
0.874,0.86,0.435,0.664,0.526,0.114,0.336,0.486,16,1.5,0.003,0.5,1.0
0.863,0.873,0.465,0.584,0.518,0.089,0.416,0.486,16,1.5,0.003,1.0,1.0
0.886,0.85,0.42,0.733,0.534,0.134,0.267,0.486,16,1.5,0.003,2.0,1.0
0.877,0.862,0.439,0.661,0.528,0.112,0.339,0.486,16,1.5,0.005,0.5,1.0
0.889,0.849,0.417,0.739,0.533,0.137,0.261,0.486,16,1.5,0.005,1.0,1.0
0.892,0.86,0.439,0.708,0.542,0.12,0.292,0.486,16,1.5,0.005,2.0,1.0
0.824,0.789,0.316,0.69,0.433,0.198,0.31,0.32,16,2.0,0.001,0.5,1.0
0.818,0.75,0.282,0.734,0.407,0.248,0.266,0.32,16,2.0,0.001,1.0,1.0
0.752,0.671,0.217,0.697,0.331,0.332,0.303,0.32,16,2.0,0.001,2.0,1.0
