ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.898,0.842,0.411,0.796,0.542,0.151,0.204,inf,16,0.0,0.001,0.0,1.0
0.894,0.826,0.386,0.82,0.525,0.173,0.18,inf,16,0.0,0.003,0.0,1.0
0.892,0.851,0.425,0.786,0.552,0.141,0.214,inf,16,0.0,0.005,0.0,1.0
0.906,0.852,0.428,0.793,0.556,0.141,0.207,inf,32,0.0,0.001,0.0,1.0
0.895,0.839,0.404,0.794,0.536,0.155,0.206,inf,32,0.0,0.003,0.0,1.0
0.893,0.823,0.383,0.844,0.527,0.18,0.156,inf,32,0.0,0.005,0.0,1.0
0.901,0.831,0.395,0.836,0.536,0.17,0.164,inf,64,0.0,0.001,0.0,1.0
0.898,0.849,0.422,0.789,0.55,0.143,0.211,inf,64,0.0,0.003,0.0,1.0
0.894,0.832,0.394,0.814,0.531,0.166,0.186,inf,64,0.0,0.005,0.0,1.0
0.899,0.832,0.394,0.806,0.529,0.165,0.194,inf,128,0.0,0.001,0.0,1.0
0.9,0.844,0.413,0.786,0.541,0.148,0.214,inf,128,0.0,0.003,0.0,1.0
0.897,0.838,0.404,0.806,0.539,0.157,0.194,inf,128,0.0,0.005,0.0,1.0
0.895,0.797,0.349,0.85,0.495,0.21,0.15,1.699,16,0.8,0.001,0.5,1.0
0.899,0.825,0.382,0.811,0.52,0.174,0.189,1.699,16,0.8,0.001,1.0,1.0
0.896,0.819,0.375,0.827,0.516,0.182,0.173,1.699,16,0.8,0.001,2.0,1.0
0.903,0.814,0.369,0.835,0.512,0.189,0.165,1.699,16,0.8,0.003,0.5,1.0
0.903,0.825,0.385,0.829,0.526,0.176,0.171,1.699,16,0.8,0.003,1.0,1.0
0.905,0.791,0.345,0.872,0.495,0.219,0.128,1.699,16,0.8,0.003,2.0,1.0
0.907,0.828,0.391,0.849,0.535,0.175,0.151,1.699,16,0.8,0.005,0.5,1.0
0.905,0.804,0.359,0.866,0.508,0.204,0.134,1.699,16,0.8,0.005,1.0,1.0
0.903,0.773,0.327,0.89,0.478,0.243,0.11,1.699,16,0.8,0.005,2.0,1.0
0.896,0.844,0.41,0.767,0.535,0.146,0.233,0.849,16,1.1,0.001,0.5,1.0
0.894,0.831,0.389,0.785,0.521,0.163,0.215,0.849,16,1.1,0.001,1.0,1.0
0.898,0.78,0.332,0.868,0.481,0.231,0.132,0.849,16,1.1,0.001,2.0,1.0
0.905,0.824,0.385,0.845,0.529,0.179,0.155,0.849,16,1.1,0.003,0.5,1.0
0.902,0.839,0.404,0.789,0.535,0.154,0.211,0.849,16,1.1,0.003,1.0,1.0
0.904,0.821,0.38,0.837,0.523,0.181,0.163,0.849,16,1.1,0.003,2.0,1.0
0.906,0.836,0.401,0.809,0.536,0.16,0.191,0.849,16,1.1,0.005,0.5,1.0
0.904,0.791,0.344,0.871,0.494,0.22,0.129,0.849,16,1.1,0.005,1.0,1.0
0.904,0.81,0.367,0.863,0.515,0.197,0.137,0.849,16,1.1,0.005,2.0,1.0
0.895,0.834,0.395,0.789,0.526,0.16,0.211,0.486,16,1.5,0.001,0.5,1.0
0.897,0.787,0.339,0.862,0.487,0.223,0.138,0.486,16,1.5,0.001,1.0,1.0
0.894,0.824,0.379,0.797,0.514,0.173,0.203,0.486,16,1.5,0.001,2.0,1.0
0.904,0.802,0.356,0.862,0.504,0.206,0.138,0.486,16,1.5,0.003,0.5,1.0
0.903,0.766,0.321,0.897,0.472,0.252,0.103,0.486,16,1.5,0.003,1.0,1.0
0.904,0.813,0.37,0.854,0.516,0.193,0.146,0.486,16,1.5,0.003,2.0,1.0
0.906,0.828,0.39,0.822,0.529,0.171,0.178,0.486,16,1.5,0.005,0.5,1.0
0.908,0.86,0.442,0.761,0.559,0.127,0.239,0.486,16,1.5,0.005,1.0,1.0
0.907,0.87,0.464,0.73,0.567,0.112,0.27,0.486,16,1.5,0.005,2.0,1.0
0.896,0.746,0.303,0.899,0.453,0.274,0.101,0.32,16,2.0,0.001,0.5,1.0
0.892,0.804,0.356,0.833,0.499,0.199,0.167,0.32,16,2.0,0.001,1.0,1.0
0.897,0.839,0.402,0.767,0.527,0.151,0.233,0.32,16,2.0,0.001,2.0,1.0
0.903,0.818,0.376,0.844,0.52,0.186,0.156,0.32,16,2.0,0.003,0.5,1.0
0.905,0.814,0.371,0.845,0.516,0.19,0.155,0.32,16,2.0,0.003,1.0,1.0
0.904,0.842,0.409,0.8,0.541,0.153,0.2,0.32,16,2.0,0.003,2.0,1.0
0.905,0.82,0.38,0.855,0.526,0.185,0.145,0.32,16,2.0,0.005,0.5,1.0
0.908,0.832,0.398,0.844,0.541,0.169,0.156,0.32,16,2.0,0.005,1.0,1.0
0.907,0.836,0.402,0.824,0.541,0.162,0.176,0.32,16,2.0,0.005,2.0,1.0
0.885,0.82,0.374,0.796,0.509,0.177,0.204,2.114,32,0.8,0.001,0.5,1.0
